No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
15,PRODUCTION OF OPTICALLY ACTIVE GLYCIDOL,"HIRAYAMA YOSHIHIRO 
MORIWAKI MASAFUMI 
OTSUKA KOTARO 
UECHI SHINICHI",NAGASE & CO LTD,JPH1146793A,1997-08-01,"C12P41/00 
C12P41/00",,1999-02-23,1999-02-23,16551389
16,PURIFICATION OF GLYCIDOL,YOSHIDA YUKIO,DAICEL CHEM,JPH05125069A,1991-10-31,"C07D301/12 
C07D301/32 
C07D303/14 
C07D301/12 
C07D301/32 
C07D303/14",,1993-05-21,1993-05-21,17704481
17,PURIFICATION OF GLYCIDOL,"KATO KENJI 
MORISHITA TAKEHIRO 
NAITO SATOSHI",NOF CORP,JP2000355586A,1999-06-15,"C07D301/19 
C07D301/32 
C07D303/14 
C07D301/19 
C07D301/32 
C07D303/14",,2000-12-26,2000-12-26,15856170
18,"""PROCESS FOR THE SYNTHESIS OF GLYCIDOL FROM GLYCEROL""","ASHUTOSH ANANT KELKAR [IN] 
MUDASSIR KHURSHEED MUNSHI [IN] 
SWAPNA MUGUTRAO GADE [IN] 
VILAS HARI RANE [IN]",COUNCIL SCIENT IND RES [IN],IN795DE2012A,2012-03-19,C07C,,2015-08-21,2015-08-21,54394287
19,Epoxidation of glycerol and derivatives therefrom,"PIENAAR ANDRE 
STOCKENHUBER MICHAEL 
WILSON LAURENCE JUSTIN PIENAAR","AEL MINING SERVICES LTD 
AEL MINING SERVICES LTD [ZA]",AU2011274343A1,2010-06-29,"C07C201/10 
C07C205/02 
C07C29/36 
C07C31/24","C06B49/00 (US) 
C07C201/02 (EP) 
C07C201/10 (US) 
C07C273/18 (EP) 
C07C273/1809 (US) 
C07C273/1863 (US) 
C07C29/36 (EP) 
C07D301/12 (EP,US) 
C07C201/02, C07C203/04, INV (EP)       
C07C273/18, C07C275/06, INV (EP)       
C07C273/18, C07C275/50, INV (EP)       
C07C29/36, C07C31/24, INV (EP)      ",2012-10-25,2012-01-05,44629993
20,METHOD FOR THE PREPARATION OF BIODEGRADABLE GLYCIDOL SURFACTANTS,"LAPKIN M 
WOJTOWICZ J",OLIN CORP,US3719636A,1970-04-09,"C07C41/02 
C07C41/10 
C11D1/72","C11D1/72 (EP) 
Y10S516/01 (EP) 
Y10S516/02 (EP) 
Y10S516/917 (EP)",1973-03-06,1973-03-06,26702057
21,Glycidol-modified polyepoxide-polyoxyalkylenepolyamine adducts.,"MCCOLLUM GREGORY JAMES 
ZWACK ROBERT RAYMOND",PPG INDUSTRIES INC [US],EP0326937A2,1988-02-01,"C09D3/58 
C08G59/50 
C08G73/02 
C09D5/44 
C09D163/00 
C08G59/14 
C08G65/32 
C08L63/00 
C08L71/02 
C09D163/00 
C09D171/00 
C09D171/02 
C09D5/44","C08G59/145 (EP) 
C08L63/00 (EP) 
C09D163/00 (EP) 
C09D5/4492 (EP) 
C08L63/00, C08L2666/22, INV (EP)      ",1989-08-09,1989-03-07,22537525
22,"METHOD FOR PRODUCING REFINED PALM-BASED FAT/OIL, AND METHOD FOR REDUCING GLYCIDOL, 3-CHLOROPROPANE-1,2-DIOL AND FATTY ACID ESTERS THEREOF AND/OR DIGLYCERIDES IN REFINED PALM-BASED FAT/OIL",KOZUI HIROYUKI [JP],NISSHIN OILLIO GROUP LTD [JP],WO2017154638A1,2016-03-11,C11B3/12,C11B3/12 (EP),2017-09-14,2017-09-14,59789201
23,METHOD FOR PRODUCING GLYCIDOL,"NANBA MASANORI 
SASA TOMOAKI 
SEKI YUICHIRO 
TAKEUCHI HIROKI 
UNO MITSURU",KAO CORP,JP2009137938A,2007-11-15,"C07D301/02 
C07D303/14 
C07B61/00",,2009-06-25,2009-06-25,40868945
24,GLYCIDOL PROCESS,"FISHER WARREN C 
LIAO HSIANG-PENG 
LINDER SEYMOUR M 
PELLEY RALPH L",FMC CORP,US4082777A,1970-05-22,"C07D301/14 
C07D301/14",C07D301/14 (EP),1978-04-04,1978-04-04,21917740
25,MANUFACTURING METHOD OF OIL AND FAT COMPOSITION,"NAKAMURA TOSHIHIRO 
SAKAGUCHI KEIJI","KANEKA CORP 
TAIYO OIL & FAT MFG",JP2012136654A,2010-12-27,"A23D9/00 
C11B3/10 
C11B3/14",,2012-07-19,2012-07-19,46674334
26,PROCESS FOR MANUFACTURING GLYCIDOL,GILBEAU PATRICK [BE],"GILBEAU PATRICK [BE] 
SOLVAY [BE]",WO2009016149A2,2007-07-30,"C07D301/26 
C07D301/32 
C07D303/14","C07D301/26 (EP) 
C07D301/32 (EP) 
C07D303/14 (EP)",2009-02-05,2009-02-05,39111786
27,GLYCIDOL; GLYCERINE,,HALCON INTERNATIONAL INC,IE29348L,1965-11-08,"C07C31/22 
C07D1/18 
C07C31/22",,1966-05-09,1966-05-09,11024074
28,Recovery of Glycidol,NAGLIERI ANTHONY NICHOLAS,HALCON INTERNATIONAL INC [US],GB1183360A,1966-07-25,"C07C 
C07C29/80 
C07C29/82 
C07D301/32 
C07D303/14","C07C29/80 (EP) 
C07C29/82 (EP) 
C07D301/32 (EP) 
C07C29/80, C07C33/03, INV (EP)       
C07C29/82, C07C33/03, INV (EP)      ",1970-03-04,1968-01-17,24267116
29,STABILIZATION OF GLYCIDOL,"INOUE KIMIO 
KUBO MASAYOSHI",DAICEL LTD,JPS5629582A,1979-08-16,"C07D301/36 
C07D301/36",,1981-03-24,1981-03-24,14385589
30,METHOD FOR PRODUCING GLYCIDOL,"KATO KENJI 
MATSUYAMA KAZUO 
MORISHITA TAKEHIRO 
NAITO SATOSHI",NOF CORP,JP2001106680A,1999-10-04,"B01J31/02 
C07B61/00 
C07D301/14 
C07D303/14 
B01J31/02 
C07B61/00 
C07D301/14 
C07D303/14",,2001-04-17,2001-04-17,17659080
31,GLYCIDOL; GLYCERINE,,HALCON INTERNATIONAL INC,IE29347L,1965-11-08,"C07C31/22 
C07D1/18 
C07C31/22",,1966-05-09,1966-05-09,11022942
32,PURIFICATION OF GLYCIDOL,"ARASHIBA NOBUMASA 
IKEDA YOSHIHIRO 
SUGAWARA HARUSHIGE",MITSUI TOATSU CHEMICALS,JPS59167579A,1983-03-14,"C07D301/32 
C07D303/14 
C07D301/32 
C07D303/14",,1984-09-21,1984-09-21,12591291
33,Glycidol and glycerol process,"FISHER WARREN C 
LIAO HSIANG-PENG 
LINDER SEYMOUR M 
PELLEY RALPH L",FMC CORP,US3954815A,1966-01-11,"C07D301/14 
C07D301/14 
C07D301/32","C07D301/14 (EP) 
C07D301/32 (EP)",1976-05-04,1976-05-04,26718396
34,METHOD OF PRODUCING GLYCIDOL,"BRUK LEV GRIGOREVICH [RU] 
FLID MARK RAFAILOVICH [RU] 
FLID VITALIJ RAFAILOVICH [RU] 
LEONTEVA SVETLANA VIKTOROVNA [RU] 
NASYBULIN FARIS DZHALILEVICH [RU] 
PASTUKHOVA ZHANNA JUREVNA [RU] 
SULIMOV ALEKSANDR VLADIMIROVICH [RU]",FED GOSUDARSTVENNOE BJUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIJA MOSKOVSKIJ TEKH UN [RU],RU2604835C1,2015-11-17,"C07D301/12 
C07D303/14","C07D301/12 (RU) 
C07D303/14 (RU)",2016-12-10,2016-12-10,57776726
35,Process for the preparation of laevo-and dextro-dropropizine,"GALLAZZI ALBERTO 
LUSSANA MASSIMILIANO 
POLACCI CARLO",BIDACHEM SPA [IT],FR2634765A1,1988-08-01,"A61K31/495 
C07D295/08 
C07D295/088",C07D295/088 (EP),1990-02-02,1990-02-02,11184306
36,METHOD OF GLYCIDOL SYNTHESIS,"KULAKOVA R S 
MATYGULLIN V S 
SIBGATULLINA V T 
SIROTKIN L B 
VLADYKIN V I","ERIALOV 
NI SKIJ I POLIMERNYKH MAT",RU2130452C1,1997-07-29,"C07D301/26 
C07D303/14 
C07D301/26 
C07D303/14",,1999-05-20,1999-05-20,20195786
37,PURIFICATION OF GLYCIDOL,AOYAMA HIROSHI,DAICEL CHEM,JPH0784454B2,1986-12-26,"C07D301/32 
C07D303/14 
C07D301/32 
C07D303/14",,1988-07-06,1988-07-06,17984430
38,Linear copolymers of glycidol,"CORSON FREDERICK P 
SEXTON ARTHUR R 
STEVENS VIOLETE L",DOW CHEMICAL CO,US4003961A,1974-02-20,"C08G23/22 
C08G65/332 
C08L71/02","C08G65/3322 (EP) 
C08G65/3324 (EP) 
C08L71/02 (EP) 
Y10S525/925 (EP) 
Y10T428/269 (EP,US) 
C08L71/02, C08L2666/02, INV (EP)      ",1977-01-18,1977-01-18,27033770
39,PRODUCTION OF GLYCIDOL,"KOYAMA HIROSHI 
YOSHIDA YUKIO",DAICEL CHEM,JP2844128B2,1990-12-13,"B01D1/00 
C07B61/00 
C07B63/00 
B01J23/30 
C07D301/12 
C07D303/14 
B01D1/00 
B01J23/30 
C07B61/00 
C07B63/00 
C07D301/12 
C07D303/14",,1992-07-31,1992-07-31,18524054
40,"Making 1,2,4-butanetriol by hydroformylation of glycidol","CAMPBELL CAROL J [US] 
HINSHAW JERALD C [US]",THIOKOL CORP [US],US4410744A,1982-08-02,"C07C29/16 
C07C31/22 
C07C29/10 
C07C31/22 
C07D307/33","C07C29/10 (EP) 
C07C31/22 (EP) 
C07D307/33 (EP) 
C07C29/10, C07C31/22, INV (EP)      ",1983-10-18,1983-10-18,23598449
41,METHOD FOR PRODUCING GLYCIDOL,HORIGUCHI AKIRA,DAICEL CHEM,JP2001233867A,2000-02-28,"C07D301/12 
C07D303/14 
C07D301/12 
C07D303/14",,2001-08-28,2001-08-28,18573168
42,PURIFICATION OF GLYCIDOL,TAKABE AKIHISA,DAICEL CHEM,JP3247770B2,1993-06-18,"C07D301/32 
C07D303/14 
C07D301/32 
C07D303/14",,1995-01-06,1995-01-06,15432046
43,GLYCIDOL SYNTHESIS METHOD,"BLANCO P�REZ NOELIA [ES] 
G�MEZ DE MIRANDA JIM�NEZ DE ABERASTUI OLGA [ES] 
MAESTRO MADURGA BEL�N [ES] 
OCHOA G�MEZ JOS� RAM�N [ES] 
PRIETO FERN�NDEZ SORAYA [ES]",FUNDACION TECNALIA RES & INNOVATION [ES],US10640478B2,2015-07-30,"B01J21/04 
B01J21/06 
B01J21/08 
B01J21/10 
B01J23/02 
B01J23/10 
B01J23/14 
C07D301/02 
C07D303/14 
B01J23/04 
B01J23/20 
B01J37/02 
B01J37/04","B01J21/04 (US) 
B01J21/066 (US) 
B01J21/08 (US) 
B01J21/10 (EP,US) 
B01J23/02 (EP,US) 
B01J23/04 (EP,US) 
B01J23/10 (US) 
B01J23/14 (EP,US) 
B01J23/20 (EP,US) 
B01J37/0201 (EP,US) 
B01J37/04 (EP,US) 
C07D301/02 (EP,US) 
C07D303/14 (EP,US)",2018-11-08,2017-02-02,57884656
44,PURIFICATION OF GLYCIDOL,YOSHIDA YUKIO,DAICEL CHEM,JPH08208633A,1991-12-04,"B01D3/34 
C07B63/02 
C07D301/32 
C07D303/14 
B01D3/34 
C07B63/02 
C07D301/32 
C07D303/14",,1996-08-13,1996-08-13,18121632
45,PURIFICATION OF GLYCIDOL,YOSHIDA YUKIO,DAICEL CHEM,JPH051051A,1991-06-27,"B01D11/04 
B01D3/36 
C07B63/00 
C07D301/14 
C07D301/32 
C07D303/14 
B01D11/04 
B01D3/36 
C07B63/00 
C07D301/14 
C07D301/32 
C07D303/14",,1993-01-08,1993-01-08,15635577
46,Stabilization of cyclohexene oxide,CORMANY CHARLES L [US],PPG INDUSTRIES INC,US4217310A,1978-08-18,"C07C17/40 
C07C17/00 
C07C17/42 
C07C67/00 
C07D301/36 
C07D303/04",C07D303/04 (EP),1980-08-12,1980-02-14,25466047
47,PURIFICATION OF GLYCIDYL METHACRYLATE,"KOGA KUNIO 
KOYAMA HIROSHI",DAICEL CHEM,JP3044694B2,1991-01-16,"C07D301/32 
C07D303/16 
C07D301/32 
C07D303/16",,1992-08-25,1992-08-25,13494815
48,METHOD FOR PURIFYING GLYCIDOL,"ARASHIBA NOBUMASA 
KOGA EIJI 
NAKANISHI TAKEHISA",MITSUI TOATSU CHEMICALS,JPH051264B2,1984-06-25,"C07D301/32 
C07D303/14 
C07D301/32 
C07D303/14",,1986-01-18,1986-01-18,15003829
49,PURIFICATION OF GLYCIDOL,"ARASHIBA NOBUMASA 
IKEDA YOSHIHIRO 
KOGA EIJI 
SUGAWARA HARUSHIGE",MITSUI TOATSU CHEMICALS,JPS59167580A,1983-03-14,"C07D301/32 
C07D303/14 
C07D301/32 
C07D303/14",,1984-09-21,1984-09-21,12591323
50,Production of Glycidol,,FMC CORP [US],GB1180367A,1967-07-17,"C07D1/18 
C07D301/14 
C07D303/14",C07D301/14 (EP),1970-02-04,1968-12-16,24622519
51,PROCESS FOR PREPARING GLYCIDOL,"NOZAWA NOBUHIRO 
SAKAMOTO TORU 
SEKI YUICHIRO",KAO CORP,JP2009149576A,2007-12-21,"C07D301/02 
C07D303/14",,2009-07-09,2009-07-09,40919172
52,Formulations comprising olin 10-G to prevent particle aggregation and increase stability,"ILLIG KATHLEEN J [US] 
SARPOTDAR PRAMOD [US]",STERLING WINTHROP INC [US],US5340564A,1992-12-10,"A61K31/075 
A61K9/14 
A61K49/04 
A61K9/14","A61K49/049 (EP) 
A61K9/145 (EP) 
B82Y5/00 (EP) 
Y10S514/975 (EP) 
Y10S977/773 (EP) 
Y10S977/89 (EP)",1994-08-23,1994-08-23,25534266
53,Linear copolymers of glycidol,"CORSON FREDERICK P 
SEXTON ARTHUR R 
STEVENS VIOLETE L",DOW CHEMICAL CO,US4014854A,1974-02-20,"C08G23/22 
C08G65/332 
C08L71/02","C08G65/3322 (EP) 
C08G65/3324 (EP) 
C08L71/02 (EP) 
Y10T428/269 (EP,US) 
C08L71/02, C08L2666/02, INV (EP)      ",1977-03-29,1975-08-20,23763401
54,PROCESSES FOR REMOVING MONOCHLOROPROPANEDIOLS AND/OR GLYCIDOL FROM GLYCEROL,"GROOS HANS-FOLKERT [DE] 
GROOS JEREMIE [DE]",ARCHER DANIELS MIDLAND CO [US],WO2014042937A1,2012-09-14,C08G65/04,"C07C29/76 (EP) 
C07C29/80 (EP) 
C07C29/88 (EP) 
C08G2650/54 (EP) 
C07C29/76, C07C31/225, INV (EP)       
C07C29/80, C07C31/225, INV (EP)       
C07C29/88, C07C31/225, INV (EP)      ",2014-03-20,2014-03-20,50278613
55,Programming cell lethal revellent,"ISAO UFUKU [JP] 
NOBUTO OYAMA [JP] 
TAKESHI SAKAI [JP]",TAKARA SHUZO CO [JP],CN1380077A,1996-11-08,"A23L1/30 
A23L2/38 
A61K31/70 
A61K35/78 
A61K35/80 
A61K35/84 
A61P43/00 
A61K31/70 
A61K35/12 
A61K35/56 
A61K35/66 
A61P35/00","A23L33/105 (EP) 
A61K31/00 (EP) 
A61K36/02 (EP) 
A61K36/07 (EP) 
A61K36/82 (EP) 
A61K36/899 (EP) 
A61P35/00 (EP) 
A61P43/00 (EP) 
A23V2002/00 (EP) 
A23V2002/00, A23V2200/308, A23V2250/208, ADD (EP)      ",2002-11-20,1998-05-22,26566633
56,Poly-glycidyl poly-carboxylates prodn. by ester interchange,"LOHSE FRIEDRICH DR 
TRACHSLER DIETER DR 
ZONDLER HELMUT DR",CIBA GEIGY AG,CH605883A5,1975-04-04,"C07D303/44 
C07D303/16",C07D303/16 (EP),1978-10-13,1978-10-13,4273377
57,Synthesis method of glycidol,"DONG JINXIANG 
JIA RUILONG 
LIU LEI",UNIV TAIYUAN TECHNOLOGY,CN106518813A,2016-10-31,"B01J31/18 
C07D301/12 
C07D303/14","B01J27/188 (CN) 
B01J31/0275 (CN) 
C07D301/12 (CN) 
C07D303/14 (CN) 
B01J2231/72 (CN)",2017-03-22,2017-03-22,58292264
58,(-)-3-(P-TOLYL)GLYCIDOL,"OGASAWARA KUNIRO 
TAKANO SEIICHI 
YANASE MASAFUMI",ADEKA ARGUS CHEMICAL CO LTD,JP2750874B2,1988-10-01,"C07B61/00 
C07C29/60 
C07C33/20 
C07D301/19 
C07D303/14 
C07B61/00 
C07C29/60 
C07C33/20 
C07D301/19 
C07D303/14",,1990-04-09,1990-04-09,17179646
59,Method for synthetizing glycidol,"DAI YOUZHI 
HU JIANMING 
YAO ZHIGANG 
ZHANG ZHENHUA 
ZHOU XI",UNIV SHAOYANG,CN103242266A,2013-05-15,"C07D301/02 
C07D303/14 
C07D317/36",,2013-08-14,2013-08-14,48922171
60,Poly-glycidyl poly-carboxylates prodn. by ester interchange,"LOHSE FRIEDRICH DR 
TRACHSLER DIETER DR 
ZONDLER HELMUT DR",CIBA GEIGY AG,CH595369A5,1975-01-24,"C07D303/44 
C07D301/00 
C07D303/16","C07D301/00 (EP) 
C07D303/16 (EP)",1978-02-15,1976-07-23,4197902
61,METHOD OF PRODUCING GLYCIDOL,SAKAKIBARA MAKOTO,KAO CORP,JP2015199675A,2014-04-04,"C07D301/02 
C07D303/14",,2015-11-12,2015-11-12,54551313
62,"Reaction product of mercaptans, alkylene oxides and glycidol","FRIEDRICH HANS-HELMUT 
LINHART HELMUT 
WIRTH HERMANN O",CIBA GEIGY CORP,US3988378A,1974-01-10,"C07C149/14 
C07C149/32 
C08G65/08 
C08G65/26 
C08L101/00","C07C323/00 (EP) 
C08G65/08 (EP) 
C08G65/2636 (EP) 
C08L101/00 (EP)",1976-10-26,1976-10-26,27171967
63,PRODUCTION OF GLYCIDYL METHACRYLATE,"FUJIKAWA HISAO 
TAKEMOTO ETSUO",DAICEL CHEM,JPH04173783A,1990-11-08,"C07B61/00 
C07D301/00 
C07D303/16 
C07B61/00 
C07D301/00 
C07D303/16",,1992-06-22,1992-06-22,17914337
64,PROCESS FOR PREPARING GLYCIDOL,KOLLAR JOHN,HALCON INTERNATIONAL INC,US3625981A,1968-04-18,"C07D1/18 
C07D301/19",C07D301/19 (EP),1971-12-07,1971-12-07,24900701
65,GLYCIDOL AND GLYCEROL PROCESS,"FISHER WARREN C 
LIAO HSIANG P 
LINDER SEYMOUR M 
PELLEY RALPH L",FMC CORP,CA863365A,,,,1971-02-09,1971-02-09,36348729
66,PROCESS FOR THE PRODUCTION OF GLYCIDOL,,DEGUSSA,GB1498273A,1974-02-25,"C07C31/22 
C07D301/12 
C07D303/14 
C07D301/12 
C07D301/32",C07D301/32 (EP),1978-01-18,1975-08-25,5908388
67,METHOD FOR PRODUCING HIGHLY BRANCHED GLYCIDOL-BASED POLYOLS,"MUELHAUPT ROLF [DE] 
SUNDER ALEXANDER [DE]","BAYER AG [DE] 
MUELHAUPT ROLF [DE] 
SUNDER ALEXANDER [DE]",WO0037532A2,1998-12-22,"C08G65/00 
C08G65/22 
C08G83/00 
C08G18/48 
C08G65/22 
C08G65/26 
C08G65/28","C08G18/48 (EP) 
C08G65/22 (EP) 
C08G65/2648 (EP)",2000-06-29,2000-06-29,26050935
68,METHOD FOR STABILIZING GLYCIDOL,"BRINDELL G 
CANTOR S 
QUINT R",UNIROYAL INC,US3819662A,1972-02-18,C07D1/18,,1974-06-25,1974-06-25,22853726
69,Optically active derivatives of glycidol,"KLUNDER JANICE M [US] 
ONAMI TETSUO H [JP] 
SHARPLESS KARL B [US]",MASSACHUSETTS INST TECHNOLOGY [US],US4946974A,1986-10-01,"C07D303/16 
C07D303/16",C07D303/16 (EP),1990-08-07,1990-08-07,25433746
70,PROCESS FOR THE PREPARATION OF GLYCIDOL,"ATKINS MARTIN [GB] 
COLEMAN FERGAL [GB] 
HARDIMAN SEAN [GB]",GREEN LIZARD TECH LTD [GB],WO2019186180A1,2018-03-28,"C07D301/02 
C07D303/14","C07D301/02 (EP,GB) 
C07D303/04 (GB) 
C07D303/14 (EP)",2019-10-03,2019-10-02,62067971
71,Optically active derivatives of glycidol,"KLUNDER JANICE M [US] 
SHARPLESS KARL B [US]",MASSACHUSETTS INST TECHNOLOGY [US],US5344947A,1986-10-01,"C07D303/34 
C07D303/16",C07D303/16 (EP),1994-09-06,1994-09-06,27407915
72,METHOD OF PREPARING GLYCIDOL,"GARIFZYANOV G G 
KHANNANOV T M 
KIRICHENKO G N 
MASAGUTOV R M 
MAVLYUTOVA E G","GARIFZYANOV G G 
KHANNANOV T M 
KIRICHENKO G N 
MASAGUTOV R M 
MAVLYUTOVA E G [SU]",SU406452A1,1972-03-28,"C07D303/14 
C07D303/14",Y02P20/584 (EP),1978-03-25,1978-03-25,20507597
73,GLYCIDOL RECOVERY PROCESS,"POLAK ROGER J 
ZASLOWSKY JOEL A",OLIN MATHIESON,US3457282A,1966-06-01,"C07D1/02 
C07D1/04 
C07D301/26 
C07D301/32","C07D301/26 (EP) 
C07D301/32 (EP)",1969-07-22,1969-07-22,24212899
74,RECOVERY OF GLYCIDOL,,HALCON INTERNATIONAL INC,IE31250L,1967-07-24,"B01D3/34 
C07D1/18 
B01D3/34",,1968-01-25,1968-01-25,11019316
75,Apparatus for producing diglycerol,"LEE SUN DO [KR] 
RYU YOUNG BOK [KR]",JEUS OIL & CHEMICALS CO LTD [KR],KR101970339B1,2017-05-24,"B01J8/00 
C07C41/30 
C07C43/13 
C07D301/36 
C07D303/04","B01J8/0015 (KR) 
C07C41/30 (KR) 
C07C43/132 (KR) 
C07D301/36 (KR) 
C07D303/04 (KR)",2018-12-04,2018-12-04,64669186
76,Optically active derivatives of glycidol,"ONAMI TETSUO H [US] 
SHARPLESS KARL B [US]",MASSACHUSETTS INST TECHNOLOGY [US],US5153338A,1986-06-25,"C07D303/36 
C07D303/16",C07D303/16 (EP),1992-10-06,1992-10-06,27073385
